date,Approve,Disapprove
2015-03-04,44.0,51.5
2015-03-05,43.9,51.5
2015-03-06,43.8,51.5
2015-03-07,43.8,51.5
2015-03-08,44.0,51.4
2015-03-09,44.4,51.1
2015-03-10,44.8,50.9
2015-03-11,44.8,50.8
2015-03-12,44.8,50.9
2015-03-13,45.1,50.6
2015-03-14,45.3,50.5
2015-03-15,45.3,50.5
2015-03-16,45.1,50.6
2015-03-17,45.0,50.6
2015-03-18,44.9,50.9
2015-03-19,45.1,50.7
2015-03-20,45.1,50.9
2015-03-21,44.9,51.1
2015-03-22,44.8,51.4
2015-03-23,45.1,50.9
2015-03-24,45.1,51.0
2015-03-25,45.3,50.9
2015-03-26,45.1,50.8
2015-03-27,45.2,50.7
2015-03-28,45.4,50.4
2015-03-29,45.6,50.2
2015-03-30,45.8,50.0
2015-03-31,46.0,49.8
2015-04-01,45.6,49.8
2015-04-02,45.3,49.9
2015-04-03,45.3,50.0
2015-04-04,45.6,49.8
2015-04-05,45.6,49.8
2015-04-06,45.2,49.8
2015-04-07,45.1,50.0
2015-04-08,44.8,50.3
2015-04-09,45.0,50.2
2015-04-10,45.1,50.4
2015-04-11,45.4,50.1
2015-04-12,45.3,50.3
2015-04-13,45.3,50.1
2015-04-14,44.8,49.9
2015-04-15,44.9,50.0
2015-04-16,45.3,49.9
2015-04-17,45.1,50.1
2015-04-18,44.9,50.3
2015-04-19,44.7,50.3
2015-04-20,44.9,50.1
2015-04-21,45.4,49.4
2015-04-22,45.0,49.8
2015-04-23,44.6,49.9
2015-04-24,45.0,49.6
2015-04-25,45.3,49.5
2015-04-26,45.1,49.5
2015-04-27,44.8,49.7
2015-04-28,45.0,49.4
2015-04-29,45.3,49.2
2015-04-30,45.7,49.6
2015-05-01,45.7,49.7
2015-05-02,45.9,50.3
2015-05-03,46.0,50.1
2015-05-04,45.9,49.9
2015-05-05,46.0,49.9
2015-05-06,46.1,49.5
2015-05-07,46.0,49.4
2015-05-08,45.7,49.7
2015-05-09,45.4,50.0
2015-05-10,45.4,50.0
2015-05-11,45.8,49.5
2015-05-12,45.6,49.6
2015-05-13,45.8,49.5
2015-05-14,45.2,50.0
2015-05-15,45.4,50.0
2015-05-16,45.6,49.9
2015-05-17,45.7,49.8
2015-05-18,45.6,49.8
2015-05-19,45.4,49.4
2015-05-20,45.0,50.0
2015-05-21,44.8,50.0
2015-05-22,44.4,51.1
2015-05-23,44.9,50.7
2015-05-24,45.4,50.3
2015-05-25,45.4,50.3
2015-05-26,45.1,50.6
2015-05-27,44.7,50.9
2015-05-28,45.0,50.7
2015-05-29,45.0,50.3
2015-05-30,45.3,50.2
2015-05-31,45.3,50.3
2015-06-01,45.7,49.8
2015-06-02,44.6,49.9
2015-06-03,44.4,50.8
2015-06-04,44.4,50.4
2015-06-05,44.7,50.3
2015-06-06,44.6,50.3
2015-06-07,44.7,50.3
2015-06-08,44.8,50.0
2015-06-09,44.9,50.0
2015-06-10,44.9,50.1
2015-06-11,44.5,50.6
2015-06-12,44.0,51.3
2015-06-13,43.6,51.3
2015-06-14,43.6,51.3
2015-06-15,44.0,51.0
2015-06-16,44.0,51.0
2015-06-17,44.0,51.0
2015-06-18,43.5,51.5
2015-06-19,43.7,51.4
2015-06-20,43.7,51.4
2015-06-21,43.7,51.4
2015-06-22,44.4,50.9
2015-06-23,44.3,50.8
2015-06-24,44.2,51.0
2015-06-25,44.8,51.1
2015-06-26,45.4,50.6
2015-06-27,45.6,50.4
2015-06-28,45.6,50.4
2015-06-29,46.1,49.9
2015-06-30,46.4,49.8
2015-07-01,46.5,49.8
2015-07-02,46.1,49.9
2015-07-03,46.0,49.9
2015-07-04,46.1,49.8
2015-07-05,46.3,49.7
2015-07-06,46.4,49.6
2015-07-07,46.7,49.3
2015-07-08,46.6,49.4
2015-07-09,46.6,49.7
2015-07-10,46.1,50.0
2015-07-11,46.4,49.9
2015-07-12,46.3,49.7
2015-07-13,46.4,49.7
2015-07-14,46.1,50.0
2015-07-15,45.7,49.6
2015-07-16,45.6,49.7
2015-07-17,44.7,50.7
2015-07-18,44.9,50.6
2015-07-19,44.7,50.7
2015-07-20,44.9,51.0
2015-07-21,44.8,51.0
2015-07-22,44.9,50.9
2015-07-23,44.9,50.9
2015-07-24,45.1,50.0
2015-07-25,45.1,50.0
2015-07-26,45.1,50.0
2015-07-27,45.1,50.0
2015-07-28,45.3,50.2
2015-07-29,45.8,49.9
2015-07-30,45.9,49.9
2015-07-31,46.1,49.4
2015-08-01,46.0,49.5
2015-08-02,45.9,50.0
2015-08-03,45.5,49.9
2015-08-04,45.2,49.8
2015-08-05,45.2,49.8
2015-08-06,44.9,49.9
2015-08-07,44.9,49.9
2015-08-08,44.7,50.0
2015-08-09,44.9,49.7
2015-08-10,45.1,49.4
2015-08-11,45.3,49.4
2015-08-12,45.4,49.3
2015-08-13,45.3,49.2
2015-08-14,45.0,49.7
2015-08-15,44.7,49.7
2015-08-16,44.7,49.8
2015-08-17,44.8,49.5
2015-08-18,44.3,50.0
2015-08-19,44.5,49.7
2015-08-20,44.0,50.3
2015-08-21,44.0,51.1
2015-08-22,43.7,51.6
2015-08-23,43.6,51.6
2015-08-24,44.2,52.0
2015-08-25,44.5,51.5
2015-08-26,44.3,51.5
2015-08-27,44.3,51.7
2015-08-28,44.5,51.5
2015-08-29,44.7,51.3
2015-08-30,44.7,51.2
2015-08-31,44.9,51.1
2015-09-01,44.9,51.3
2015-09-02,44.7,51.4
2015-09-03,44.7,51.4
2015-09-04,45.2,51.2
2015-09-05,45.3,51.0
2015-09-06,45.3,51.0
2015-09-07,45.8,50.5
2015-09-08,45.7,50.7
2015-09-09,46.0,50.3
2015-09-10,46.3,49.9
2015-09-11,46.1,50.0
2015-09-12,46.0,49.8
2015-09-13,46.0,49.8
2015-09-14,46.3,49.9
2015-09-15,45.9,50.3
2015-09-16,45.6,50.6
2015-09-17,45.4,50.6
2015-09-18,45.4,50.8
2015-09-19,45.4,50.6
2015-09-20,45.4,50.4
2015-09-21,45.4,50.3
2015-09-22,45.4,50.4
2015-09-23,45.7,49.7
2015-09-24,45.9,49.8
2015-09-25,46.0,49.5
2015-09-26,46.0,49.6
2015-09-27,45.7,49.9
2015-09-28,45.4,50.0
2015-09-29,45.2,50.2
2015-09-30,45.3,49.4
2015-10-01,45.4,49.3
2015-10-02,45.5,49.2
2015-10-03,45.5,49.3
2015-10-04,45.4,49.5
2015-10-05,45.5,49.3
2015-10-06,45.4,49.4
2015-10-07,45.6,49.3
2015-10-08,45.3,49.9
2015-10-09,45.3,49.8
2015-10-10,45.1,49.9
2015-10-11,45.5,49.6
2015-10-12,44.9,49.9
2015-10-13,45.1,49.6
2015-10-14,44.8,50.0
2015-10-15,45.1,49.6
2015-10-16,44.6,50.6
2015-10-17,44.7,50.4
2015-10-18,44.7,50.6
2015-10-19,45.3,50.3
2015-10-20,45.1,50.1
2015-10-21,45.2,50.0
2015-10-22,45.4,50.0
2015-10-23,45.2,50.2
2015-10-24,45.2,50.1
2015-10-25,45.2,50.2
2015-10-26,45.1,50.3
2015-10-27,45.4,50.4
2015-10-28,45.8,51.0
2015-10-29,46.0,50.5
2015-10-30,46.1,50.6
2015-10-31,45.8,50.9
2015-11-01,46.0,50.8
2015-11-02,45.9,50.6
2015-11-03,45.5,51.0
2015-11-04,45.6,50.9
2015-11-05,44.7,51.6
2015-11-06,44.8,51.3
2015-11-07,44.5,52.1
2015-11-08,44.4,52.3
2015-11-09,44.4,52.3
2015-11-10,44.8,51.9
2015-11-11,45.1,51.3
2015-11-12,44.7,51.1
2015-11-13,44.6,51.3
2015-11-14,44.7,51.1
2015-11-15,45.0,50.7
2015-11-16,45.0,50.4
2015-11-17,45.2,50.3
2015-11-18,44.4,51.0
2015-11-19,44.0,51.3
2015-11-20,43.9,51.6
2015-11-21,43.7,51.9
2015-11-22,43.4,52.0
2015-11-23,42.9,51.6
2015-11-24,43.2,51.7
2015-11-25,43.6,51.4
2015-11-26,43.6,51.4
2015-11-27,43.6,51.4
2015-11-28,43.8,51.2
2015-11-29,43.8,51.1
2015-11-30,44.2,50.7
2015-12-01,44.0,51.1
2015-12-02,43.9,51.2
2015-12-03,44.1,51.0
2015-12-04,43.9,51.0
2015-12-05,44.0,50.9
2015-12-06,44.0,51.2
2015-12-07,44.2,51.2
2015-12-08,44.1,51.1
2015-12-09,44.1,51.4
2015-12-10,43.9,52.0
2015-12-11,43.8,52.2
2015-12-12,43.8,52.2
2015-12-13,44.0,52.0
2015-12-14,43.9,51.8
2015-12-15,43.4,51.9
2015-12-16,43.7,51.7
2015-12-17,43.5,51.8
2015-12-18,43.2,52.0
2015-12-19,43.1,52.0
2015-12-20,43.3,51.8
2015-12-21,43.4,51.6
2015-12-22,43.7,51.6
2015-12-23,43.7,51.6
2015-12-24,43.6,51.5
2015-12-25,43.6,51.5
2015-12-26,43.6,51.5
2015-12-27,43.6,51.5
2015-12-28,44.1,51.8
2015-12-29,43.9,51.9
2015-12-30,43.7,52.0
2015-12-31,43.6,52.0
2016-01-01,43.6,52.0
2016-01-02,43.6,52.0
2016-01-03,43.7,51.9
2016-01-04,44.0,51.5
2016-01-05,44.5,51.3
2016-01-06,44.4,51.5
2016-01-07,44.6,51.4
2016-01-08,44.4,51.6
2016-01-09,44.5,51.5
2016-01-10,44.6,51.5
2016-01-11,44.6,51.5
2016-01-12,44.7,51.0
2016-01-13,44.3,51.0
2016-01-14,45.7,50.0
2016-01-15,45.7,50.2
2016-01-16,45.8,50.0
2016-01-17,45.8,50.2
2016-01-18,46.6,49.4
2016-01-19,46.3,49.6
2016-01-20,46.3,48.9
2016-01-21,45.6,49.9
2016-01-22,46.0,49.5
2016-01-23,46.0,49.4
2016-01-24,46.0,49.4
2016-01-25,46.0,49.6
2016-01-26,46.3,49.6
2016-01-27,46.7,49.2
2016-01-28,46.9,48.6
2016-01-29,46.8,48.7
2016-01-30,46.8,48.7
2016-01-31,46.9,48.7
2016-02-01,46.8,48.7
2016-02-02,46.9,48.8
2016-02-03,46.9,48.9
2016-02-04,46.9,48.8
2016-02-05,46.7,49.3
2016-02-06,46.5,49.5
2016-02-07,46.5,49.5
2016-02-08,46.7,49.5
2016-02-09,46.1,50.0
2016-02-10,46.1,50.1
2016-02-11,46.1,50.1
2016-02-12,46.3,50.0
2016-02-13,46.3,50.0
2016-02-14,46.3,50.1
2016-02-15,46.0,50.3
2016-02-16,46.1,50.3
2016-02-17,45.5,50.3
2016-02-18,46.1,49.8
2016-02-19,46.2,49.6
2016-02-20,46.2,49.6
2016-02-21,46.0,49.8
2016-02-22,46.0,49.8
2016-02-23,46.1,49.7
2016-02-24,46.2,49.6
2016-02-25,46.3,49.1
2016-02-26,46.0,49.4
2016-02-27,46.0,49.4
