Effect,id,topic,Estimate,StdErrPred,DF,tValue,Probt
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,1,-0.00327,0.006509,46E3,-0.50,0.6156
Intercept,44,1,0.008662,0.01543,46E3,0.56,0.5745
Intercept,54,1,-0.02101,0.01325,46E3,-1.59,0.1128
Intercept,82,1,-0.01001,0.01663,46E3,-0.60,0.5472
Intercept,89,1,-0.00294,0.01291,46E3,-0.23,0.8200
Intercept,173,1,0.02165,0.01107,46E3,1.96,0.0505
Intercept,188,1,0.01570,0.01690,46E3,0.93,0.3529
Intercept,192,1,-0.00456,0.01623,46E3,-0.28,0.7786
Intercept,200,1,-0.00259,0.01122,46E3,-0.23,0.8175
Intercept,209,1,0.007161,0.01167,46E3,0.61,0.5395
Intercept,210,1,-0.00123,0.01224,46E3,-0.10,0.9202
Intercept,214,1,0.002256,0.01809,46E3,0.12,0.9008
Intercept,229,1,-0.00970,0.01399,46E3,-0.69,0.4883
Intercept,240,1,-0.00372,0.01271,46E3,-0.29,0.7699
Intercept,288,1,0.02865,0.01184,46E3,2.42,0.0156
Intercept,291,1,-0.00116,0.01455,46E3,-0.08,0.9367
Intercept,313,1,-0.03507,0.01108,46E3,-3.17,0.0015
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
